UID,JOIN_DATE
231090,2010-01-04
231319,2010-01-04
231450,2010-01-05
232795,2010-01-05
233679,2010-02-15
233720,2010-01-06
233908,2010-01-06
237740,2010-01-06
237765,2010-01-06
238245,2010-01-06
238375,2010-01-12
238584,2010-01-17
239549,2010-01-20
240005,2010-01-07
240327,2010-01-08
240334,2010-02-22
241434,2010-01-08
241489,2010-01-21
241688,2010-01-08
243684,2010-01-09
243875,2010-01-09
244285,2010-01-10
244383,2010-01-10
244425,2010-01-10
246164,2010-01-10
246330,2010-01-11
246769,2010-01-11
246791,2010-01-11
247885,2010-01-14
248283,2010-01-11
248349,2010-01-11
249357,2010-01-12
251887,2010-02-12
251957,2010-01-12
252159,2010-01-12
252654,2010-01-13
254235,2010-01-13
256071,2010-01-15
257659,2010-01-15
258710,2010-01-20
258846,2010-01-16
262545,2010-01-17
264483,2010-01-17
264509,2010-02-06
265294,2010-01-18
267734,2010-01-18
267876,2010-02-14
267958,2010-01-18
268328,2010-01-18
268484,2010-01-18
270032,2010-01-19
273321,2010-02-01
274016,2010-01-21
274066,2010-01-31
274891,2010-01-22
275793,2010-01-22
276307,2010-01-25
276878,2010-02-22
277827,2010-01-24
277861,2010-01-24
277987,2010-01-31
278112,2010-01-24
281167,2010-03-01
281334,2010-01-25
281788,2010-01-26
282299,2010-02-02
283017,2010-01-26
283168,2010-01-27
283232,2010-01-27
284054,2010-01-28
284206,2010-01-28
285531,2010-01-28
285533,2010-02-16
286258,2010-01-29
287135,2010-01-30
288545,2010-02-27
289425,2010-01-31
292670,2010-01-31
293300,2010-02-01
296448,2010-02-01
297082,2010-02-01
299260,2010-02-02
302034,2010-02-18
303090,2010-02-03
303380,2010-02-03
304082,2010-02-03
304841,2010-02-03
305126,2010-02-06
305879,2010-02-03
310896,2010-02-04
311452,2010-02-04
311731,2010-02-05
312058,2010-02-04
312247,2010-02-05
319091,2010-02-07
319162,2010-02-07
319350,2010-02-08
319471,2010-02-08
322554,2010-02-08
325028,2010-02-09
325209,2010-02-09
326067,2010-02-09
326302,2010-02-09
326320,2010-02-16
326416,2010-02-09
326427,2010-02-09
326450,2010-02-09
326567,2010-02-10
326605,2010-02-10
326664,2010-02-10
326822,2010-02-10
326850,2010-02-10
326853,2010-02-10
327712,2010-02-10
327791,2010-02-19
328919,2010-02-11
330280,2010-02-11
333236,2010-02-18
336236,2010-02-13
339282,2010-02-14
340060,2010-02-14
340188,2010-02-14
340195,2010-02-14
341576,2010-02-15
342064,2010-02-22
342222,2010-02-15
343412,2010-02-15
345520,2010-02-16
347125,2010-02-16
347521,2010-02-16
348555,2010-02-17
350475,2010-02-17
354474,2010-02-19
356329,2010-02-19
360816,2010-02-20
363819,2010-02-21
365257,2010-02-22
365784,2010-02-22
366448,2010-03-01
369133,2010-02-23
370402,2010-02-23
370571,2010-02-23
370758,2010-02-23
370990,2010-02-24
371554,2010-02-24
372652,2010-02-27
374957,2010-02-25
375224,2010-03-02
375272,2010-02-25
375446,2010-02-25
375939,2010-02-26
376775,2010-02-26
376959,2010-02-26
377434,2010-02-26
378828,2010-02-27
379370,2010-02-27
380119,2010-02-28
382629,2010-02-28
382783,2010-02-28
382790,2010-03-04
384031,2010-03-01
384623,2010-03-01
384698,2010-03-05
385388,2010-03-02
